Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
1365596899401421,2015-07-01,1435736218,Charged,SH-01F,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,6730012,JP
1344155119269292,2015-07-01,1435754089,Charged,SH-04G,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,0285712,JP
1325152236844616,2015-07-01,1435768776,Charged,SOL23,5000 coins,com.dhearts.labyrinth,inapp,coin5,JPY,100.00,0.00,100.00,,,3701213,JP
1367230958369284,2015-07-01,1435786858,Charged,SC-04E,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,8860004,JP
1301481792193526,2015-07-02,1435838905,Charged,SO-03F,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,733-0035,JP
1397869103840686,2015-07-02,1435851449,Charged,m2a3g,5000 coins,com.dhearts.labyrinth,inapp,coin5,THB,32.00,0.00,32.00, บางกอกน้อย,กรุงเทพมหานคร,10700,TH
1353784721941687,2015-07-02,1435857021,Charged,g2,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,732,TW
1359756348533817,2015-07-03,1435898558,Charged,hammerhead,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,6550004,JP
1305830244324227,2015-07-03,1435924834,Charged,X9006,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,24765,TW
1308605173693063,2015-07-03,1435949474,Charged,P-02E,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,1980043,JP
1312303959348178,2015-07-03,1435966066,Charged,K01H,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,TWD,30.00,0.00,30.00,,,106,TW
1347656905172352,2015-07-04,1436007454,Charged,matisse3g,CherryBlossom HD LiveWallpaper,com.dhearts.lwp.cherryblossom_2,paidapp,,VND,"21,093.00",0.00,"21,093.00",Hà Nội,Hà Nội,100000,VN
1373002269742420,2015-07-04,1436029446,Charged,SH-04F,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,5060004,JP
1363468800745821,2015-07-04,1436036962,Charged,htc_a5mgp_dug,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,70174,TW
1326166738866713,2015-07-05,1436086769,Charged,LT25i,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,843,TW
1315185018151118,2015-07-05,1436112098,Charged,SO-05F,100000 coins,com.dhearts.labyrinth,inapp,coin100,JPY,"1,700.00",0.00,"1,700.00",和歌山市中,和歌山県,640-8451,JP
1371993569900494,2015-07-05,1436113352,Charged,SHV32,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,2940051,JP
1327937465752920,2015-07-05,1436117149,Charged,SOV31,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,6740083,JP
1304639231557003,2015-07-05,1436127454,Charged,SC-04G,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,3000604,JP
1339725836643302,2015-07-05,1436133502,Charged,htc_a51tuhl,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,248,TW
1378788304062463,2015-07-06,1436185849,Charged,trlteatt,100000 coins,com.dhearts.labyrinth,inapp,coin100,USD,14.35,0.00,14.35,,,38632,US
1384733809475951,2015-07-06,1436216750,Charged,htc_hiau_ml_tuhl,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,TWD,30.00,0.00,30.00,,,33462,TW
