Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
1372-2432-8706-09572,2015-09-01,1441142757,Charged,SOL24,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,222-0001,JP
1313-7703-7513-73713,2015-09-01,1441143228,Charged,SOL24,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,222-0001,JP
1393-2404-1458-16420,2015-09-02,1441207318,Charged,zeroltechn,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,104-0061,JP
1310-6872-8412-38903,2015-09-02,1441238074,Charged,SHV31,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,5140124,JP
1398-6104-9288-55520,2015-09-03,1441241726,Charged,klte,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,NOK,6.03,0.00,6.03,Larvik,,3269,NO
1312-7591-9099-58980,2015-09-03,1441263596,Charged,SO-01G,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,866-0074,JP
1302-8787-6811-29396,2015-09-03,1441273983,Charged,KYT31,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,宇治市,京都府,6110013,JP
1323-4830-6122-62866,2015-09-03,1441300977,Charged,SH-01F,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,0340302,JP
1334-5686-2882-49972,2015-09-03,1441312802,Charged,SO-03G,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,7800843,JP
1345-9817-0502-28316,2015-09-03,1441313434,Charged,SOV31,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,741-0072,JP
1300-2128-7391-82250,2015-09-03,1441322071,Charged,SO-01G,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,557-0061,JP
1318-2247-5896-08384,2015-09-04,1441388248,Charged,SHV31,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,1310044,JP
1349-1738-4096-96527,2015-09-04,1441390833,Charged,SHV32,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,6780258,JP
1340-8371-7647-66138,2015-09-04,1441391055,Charged,SHV31,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,1310044,JP
1394-1689-5612-76589,2015-09-04,1441395400,Charged,C6603,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,HKD,8.14,0.00,8.14,,-,,HK
1366-1627-0820-70684,2015-09-04,1441403877,Charged,dior,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,HKD,8.14,0.00,8.14,,,999077,HK
1367-6595-1620-10339,2015-09-05,1441426549,Charged,SOV31,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,4490034,JP
1357-5836-7013-80692,2015-09-05,1441430046,Charged,SC-04E,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,6700808,JP
1308-5483-5538-96248,2015-09-05,1441434081,Charged,SOL26,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,8540301,JP
1359-6789-6954-63676,2015-09-05,1441458419,Charged,SO-01G,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,1830022,JP
1354-6749-2580-83984,2015-09-05,1441486281,Charged,SCL23,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,0121134,JP
1307-7124-2581-42846,2015-09-06,1441520413,Charged,SH-03G,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,508-0101,JP
1315-2117-1593-55953,2015-09-06,1441530620,Charged,SG304SH,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,671-1663,JP
1302-9646-7447-69301,2015-09-06,1441578913,Charged,SH02E,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,千葉市稲毛区小仲台,千葉県,2630043,JP
1300-2767-1661-79523,2015-09-07,1441656295,Charged,SOV31,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,523-0055,JP
1394-4094-3227-12380,2015-09-07,1441656342,Charged,SOV31,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,paidapp,,JPY,119.00,0.00,119.00,,,523-0055,JP
1358-6936-3827-92574,2015-09-07,1441656508,Charged,SOV31,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,523-0055,JP
1367-3652-6708-51091,2015-09-07,1441667411,Charged,SC-04E,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,729-0417,JP
1339-8520-9217-02830,2015-09-08,1441747673,Charged,KYT31,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,334-0002,JP
1303-2137-3120-13014,2015-09-09,1441811037,Charged,SC-03E,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,346-0115,JP
1353-0260-1192-17860,2015-09-09,1441823631,Charged,KYT31,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,千葉市中央区仁戸名町,千葉県,260-0801,JP
1310-7338-4738-73466,2015-09-10,1441862700,Charged,SH09D,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,509-0124,JP
1308-4069-2118-86951,2015-09-10,1441892060,Charged,SH-04F,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,paidapp,,JPY,119.00,0.00,119.00,,,314-0115,JP
1305-8575-4955-54171,2015-09-10,1441899302,Charged,SO-05G,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,4110801,JP
1332-9593-9693-30348,2015-09-10,1441899796,Charged,SC-02G,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,4441305,JP
1307-2884-2993-89799,2015-09-10,1441912229,Charged,SC-03G,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,260-0804,JP
1399-1285-0285-52801,2015-09-10,1441918089,Charged,SH-04F,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,新居浜市新須賀町,愛媛県,7920802,JP
1377-3575-8397-27808,2015-09-10,1441920731,Charged,hwALE-H,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,paidapp,,JPY,99.00,0.00,99.00,,,2100848,JP
1339-4761-9492-22774,2015-09-10,1441922619,Charged,SC-01G,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,paidapp,,JPY,119.00,0.00,119.00,,,5720080,JP
1385-1620-7082-42613,2015-09-11,1441954293,Charged,p1,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,paidapp,,JPY,119.00,0.00,119.00,,,273-0002,JP
1322-2821-5394-21663,2015-09-11,1441991523,Charged,SBM206SH,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,4850825,JP
1325-1747-5898-22535,2015-09-12,1442020449,Charged,SHL21,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,paidapp,,JPY,119.00,0.00,119.00,,,1250051,JP
