Start Date	End Date	UPC	ISRC/ISBN	Vendor Identifier	Quantity	Partner Share	Extended Partner Share	Partner Share Currency	Sales or Return	Apple Identifier	Artist/Show/Developer/Author	Title	Label/Studio/Network/Developer/Publisher	Grid	Product Type Identifier	ISAN/Other Identifier	Country Of Sale	Pre-order Flag	Promo Code	Customer Price	Customer Currency
02/01/2015	02/28/2015			070212	1	70.00	70.00	JPY	S	500958359	D Hearts Vietnam	LIGHTS OUT V			1		JP			100.00	JPY
Total_Rows	1
Total_Amount	70
Total_Units	1
