Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
1397951661038416,"Oct 1, 2013",12:47:55 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,ST25i,TW,,30286,TWD,30.00,3.325100,JPY,100
1397951661038416,"Oct 1, 2013",12:47:55 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,ST25i,TW,,30286,TWD,-9.00,3.325100,JPY,-30
1346044376828216,"Oct 1, 2013",6:23:14 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,C6802,TW,,302,TWD,-9.00,3.313900,JPY,-30
1346044376828216,"Oct 1, 2013",6:23:14 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,C6802,TW,,302,TWD,30.00,3.313900,JPY,99
1326585100101126,"Oct 1, 2013",8:25:23 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,ISW11SC,JP,岡山県,7090442,JPY,99,1.000000,JPY,99
1326585100101126,"Oct 1, 2013",8:25:23 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,ISW11SC,JP,岡山県,7090442,JPY,-30,1.000000,JPY,-30
1309269848053003,"Oct 1, 2013",8:39:01 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,t03g,TW,,220,TWD,-9.00,3.327000,JPY,-30
1309269848053003,"Oct 1, 2013",8:39:01 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,t03g,TW,,220,TWD,30.00,3.327000,JPY,100
1374522917116699,"Oct 1, 2013",2:10:11 PM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,m0,TW,,235,TWD,30.00,3.317300,JPY,100
1374522917116699,"Oct 1, 2013",2:10:11 PM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,m0,TW,,235,TWD,-9.00,3.317300,JPY,-30
