Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
1391-2094-0301-11015,"Nov 1, 2015",12:51:28 AM PDT,,Charge,,5000 coins,com.dhearts.labyrinth,1,coin5,p1,US,IN,47150,USD,0.99,120.670000,JPY,119.00
1391-2094-0301-11015,"Nov 1, 2015",12:51:28 AM PDT,,Google fee,,5000 coins,com.dhearts.labyrinth,1,coin5,p1,US,IN,47150,USD,-0.30,120.670000,JPY,-36.00
1304-9971-8042-63726,"Nov 1, 2015",1:13:05 AM PDT,,Charge,,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,0,,F03F,JP,東京都,1830023,JPY,119.00,1.000000,JPY,119.00
1398-8012-7080-68317,"Nov 1, 2015",9:08:52 AM PST,,Charge,,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,0,,SHL21,JP,,3291104,JPY,119.00,1.000000,JPY,119.00
1361-4036-3518-10048,"Nov 1, 2015",9:17:12 AM PST,,Charge,,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,0,,SCL24,JP,,509-5401,JPY,119.00,1.000000,JPY,119.00
1301-8320-2917-39762,"Nov 1, 2015",4:37:40 PM PST,,Charge,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,SC-04G,JP,,7992651,JPY,119.00,1.000000,JPY,119.00
1336-8989-3209-40461,"Nov 1, 2015",8:07:33 PM PST,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,K00R,JP,,177-0035,JPY,99.00,1.000000,JPY,99.00
1354-4709-0568-30381,"Nov 1, 2015",8:10:57 PM PST,,Charge,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,K00R,JP,,177-0035,JPY,119.00,1.000000,JPY,119.00
1354-8186-4455-66230,"Nov 1, 2015",8:10:59 PM PST,,Charge,,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,0,,K00R,JP,,177-0035,JPY,119.00,1.000000,JPY,119.00
1338-3672-8727-32979,"Nov 2, 2015",8:45:41 AM PST,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SCL24,,,,JPY,-30.00,1.000000,JPY,-30.00
1372-5218-7459-59085,"Nov 2, 2015",8:46:19 AM PST,,Google fee,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,SCL24,,,,JPY,-36.00,1.000000,JPY,-36.00
1340-1935-5321-21199,"Nov 2, 2015",9:53:26 AM PST,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SOV32,,,,JPY,-30.00,1.000000,JPY,-30.00
1391-9453-4493-12270,"Nov 2, 2015",10:11:30 AM PST,,Google fee,,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,0,,SCL24,,,,JPY,-36.00,1.000000,JPY,-36.00
1386-8026-5742-12452,"Nov 2, 2015",9:56:36 PM PST,,Charge,,10000 coins,com.dhearts.labyrinth,1,coin10,p1,US,IN,47150,USD,1.69,120.650000,JPY,204.00
1386-8026-5742-12452,"Nov 2, 2015",9:56:36 PM PST,,Google fee,,10000 coins,com.dhearts.labyrinth,1,coin10,p1,US,IN,47150,USD,-0.51,120.650000,JPY,-62.00
1359-3226-3683-78052,"Nov 3, 2015",2:10:49 AM PST,,Charge,,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,0,,SCT21,JP,,9272333,JPY,119.00,1.000000,JPY,119.00
1359-3226-3683-78052,"Nov 3, 2015",2:10:49 AM PST,,Google fee,,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,0,,SCT21,JP,,9272333,JPY,-36.00,1.000000,JPY,-36.00
1311-9869-2834-06401,"Nov 3, 2015",2:53:30 AM PST,,Charge,,Autumn Leaves HD LiveWallpaper,com.dhearts.lwp.momiji_2,0,,t03g,IN,KA,560033,INR,65.34,1.843100,JPY,120.00
1311-9869-2834-06401,"Nov 3, 2015",2:53:30 AM PST,,Google fee,,Autumn Leaves HD LiveWallpaper,com.dhearts.lwp.momiji_2,0,,t03g,IN,KA,560033,INR,-19.60,1.843100,JPY,-36.00
1332-4949-4971-03593,"Nov 3, 2015",3:16:52 AM PST,,Charge,,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,0,,dlxj,JP,,2710062,JPY,119.00,1.000000,JPY,119.00
1332-4949-4971-03593,"Nov 3, 2015",3:16:52 AM PST,,Google fee,,紅葉 HD ライブ壁紙,com.dhearts.lwp.momiji_2,0,,dlxj,JP,,2710062,JPY,-36.00,1.000000,JPY,-36.00
1363-0794-1887-12787,"Nov 3, 2015",4:52:26 AM PST,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SOV31,JP,,3380811,JPY,99.00,1.000000,JPY,99.00
1363-0794-1887-12787,"Nov 3, 2015",4:52:26 AM PST,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SOV31,JP,,3380811,JPY,-30.00,1.000000,JPY,-30.00
1308-3349-9002-54768,"Nov 3, 2015",11:03:44 AM PST,,Charge,,美しい雪景色 - イルミネーション HD ライブ壁紙,com.dhearts.lwp.illumination,0,,SH-02G,JP,,961-0854,JPY,119.00,1.000000,JPY,119.00
1308-3349-9002-54768,"Nov 3, 2015",11:03:44 AM PST,,Google fee,,美しい雪景色 - イルミネーション HD ライブ壁紙,com.dhearts.lwp.illumination,0,,SH-02G,JP,,961-0854,JPY,-36.00,1.000000,JPY,-36.00
