Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
1314687510265846,"Apr 1, 2013",1:05:42 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SO-01D,JP,宮城県,981-3515,JPY,-30,1.000000,JPY,-30
1314687510265846,"Apr 1, 2013",1:05:42 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SO-01D,JP,宮城県,981-3515,JPY,99,1.000000,JPY,99
1364792849301359,"Apr 1, 2013",1:25:03 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,KYL21,JP,,135―0047,JPY,-30,1.000000,JPY,-30
1364792849301359,"Apr 1, 2013",1:25:03 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,KYL21,JP,,135―0047,JPY,99,1.000000,JPY,99
1343568835658706,"Apr 1, 2013",2:23:29 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SO-04D,JP,,3250063,JPY,-30,1.000000,JPY,-30
1343568835658706,"Apr 1, 2013",2:23:29 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SO-04D,JP,,3250063,JPY,99,1.000000,JPY,99
1358291628413472,"Apr 1, 2013",2:36:50 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SH02E,JP,,847-0123,JPY,-30,1.000000,JPY,-30
1358291628413472,"Apr 1, 2013",2:36:50 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,SH02E,JP,,847-0123,JPY,99,1.000000,JPY,99
1374512829810819,"Apr 1, 2013",3:26:06 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,FJI11,JP,千葉県,2702261,JPY,99,1.000000,JPY,99
1374512829810819,"Apr 1, 2013",3:26:06 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,FJI11,JP,千葉県,2702261,JPY,-30,1.000000,JPY,-30
