Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
1365-8198-4168-33685,"Aug 1, 2015",1:26:42 AM PDT,,Google fee,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,htc_m8,TW,,231,TWD,-9.00,3.916600,JPY,-35
1365-8198-4168-33685,"Aug 1, 2015",1:26:42 AM PDT,,Charge,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,htc_m8,TW,,231,TWD,30.00,3.916600,JPY,117
1329-9829-1596-06840,"Aug 1, 2015",1:39:20 AM PDT,,Google fee,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,htc_m8,TW,,231,TWD,-9.00,3.916600,JPY,-35
1329-9829-1596-06840,"Aug 1, 2015",1:39:20 AM PDT,,Charge,,夜桜　ライブ壁紙,com.quan.lwp.fallingleaveslwp,0,,htc_m8,TW,,231,TWD,30.00,3.916600,JPY,117
1376-4249-3340-77891,"Aug 1, 2015",2:05:02 AM PDT,,Google fee,,CherryBlossom HD LiveWallpaper,com.dhearts.lwp.cherryblossom_2,0,,hltecan,PR,,00646,USD,-0.30,123.930000,JPY,-37
1376-4249-3340-77891,"Aug 1, 2015",2:05:02 AM PDT,,Charge,,CherryBlossom HD LiveWallpaper,com.dhearts.lwp.cherryblossom_2,0,,hltecan,PR,,00646,USD,0.99,123.930000,JPY,123
1323-9899-8515-03368,"Aug 1, 2015",5:48:47 AM PDT,,Google fee,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,SHL25,JP,,9010343,JPY,-36,1.000000,JPY,-36
1323-9899-8515-03368,"Aug 1, 2015",5:48:47 AM PDT,,Charge,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,SHL25,JP,,9010343,JPY,119,1.000000,JPY,119
1357-6378-5323-60419,"Aug 1, 2015",6:44:52 AM PDT,,Google fee,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,maruko,JP,,856-0807,JPY,-36,1.000000,JPY,-36
1357-6378-5323-60419,"Aug 1, 2015",6:44:52 AM PDT,,Charge,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,maruko,JP,,856-0807,JPY,119,1.000000,JPY,119
1304-2223-7552-15494,"Aug 1, 2015",8:41:18 AM PDT,,Google fee,,夜桜 HD ライブ壁紙,com.dhearts.lwp.cherryblossom_2,0,,Z008_1,TW,,710,TWD,-9.00,3.916600,JPY,-35
