Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category	CMB	Device	Supported Platforms
APPLE	US	DheartsPicLogic	D Hearts Vietnam	PicLogic	1.2	1F	1	0	12/21/2015	12/21/2015	USD	US	USD	945922747	0	 	 	 	 	Games		iPad	iOS
APPLE	US	LabyrinthBattle	D Hearts Vietnam	Labyrinth of Battle		1F	1	0	12/21/2015	12/21/2015	USD	US	USD	959778297	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	7F	6	0	12/21/2015	12/21/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	26	0	12/21/2015	12/21/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	6	0	12/21/2015	12/21/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	LabyrinthBattle 	D Hearts Vietnam 	Labyrinth of Battle 		3F	1	0	12/21/2015	12/21/2015	AUD	AU	AUD	959778297	0	 	 	 	 	Games		iPad	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	5	0	12/21/2015	12/21/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	DH160514	D Hearts Vietnam	3D Puzzle Cubes	1.2	1F	1	0	12/21/2015	12/21/2015	EUR	BE	EUR	879400899	0	 	 	 	 	Games		iPad	iOS
APPLE	US	LabyrinthBattle	D Hearts Vietnam	Labyrinth of Battle		1F	1	0	12/21/2015	12/21/2015	USD	PH	USD	959778297	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	1	0	12/21/2015	12/21/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		Desktop	iOS
APPLE	US	DH160514	D Hearts Vietnam	3D Puzzle Cubes	1.2	1F	1	0	12/21/2015	12/21/2015	USD	VN	USD	879400899	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	4	0	12/21/2015	12/21/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	DH121213	D Hearts Vietnam	忍者レジェンド - 手裏剣を投げまくれ！	1.0.11	1F	1	0	12/21/2015	12/21/2015	SGD	SG	SGD	780308939	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	2	0	12/21/2015	12/21/2015	EUR	DE	EUR	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	1	0	12/21/2015	12/21/2015	EUR	ES	EUR	1002324417	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	8	0	12/21/2015	12/21/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	3	0	12/21/2015	12/21/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		Desktop	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	1	0	12/21/2015	12/21/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	4	0	12/21/2015	12/21/2015	CNY	CN	CNY	1002324417	0	 	 	 	 	Games		iPad	iOS
APPLE	US	DH121213 	D Hearts Vietnam 	忍者レジェンド - 手裏剣を投げまくれ！ 	1.0.11	7F	1	0	12/21/2015	12/21/2015	TWD	TW	TWD	780308939	0	 	 	 	 	Games		Desktop	iOS
APPLE	US	150212	D Hearts Vietnam	LITGHS OUT V Lite	1.0	1	1	0	12/21/2015	12/21/2015	JPY	JP	JPY	503030130	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker 	D Hearts Vietnam 	Stickman Striker 	2.0.3	3F	1	0	12/21/2015	12/21/2015	USD	PH	USD	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	210312	D Hearts Vietnam	Ninja-Shoot	1.2	1	1	0	12/21/2015	12/21/2015	JPY	JP	JPY	512427818	0	 	 	 	 	Games		Desktop	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	92	0	12/21/2015	12/21/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	StickmanStriker	D Hearts Vietnam	Stickman Striker	2.0.3	1F	9	0	12/21/2015	12/21/2015	JPY	JP	JPY	1002324417	0	 	 	 	 	Games		iPod touch	iOS
APPLE	US	DheartsPicLogic	D Hearts Vietnam	PicLogic	1.2	1F	1	0	12/21/2015	12/21/2015	JPY	JP	JPY	945922747	0	 	 	 	 	Games		iPhone	iOS
APPLE	US	ScrollAction	D Hearts Vietnam	IMPOSSIBLE CAT	1.0	1F	1	0	12/21/2015	12/21/2015	JPY	JP	JPY	1001050968	0	 	 	 	 	Games		iPhone	iOS
